Unnamed: 0,verse,predicted_labels,predicted_scores
26," For I am the Home of the Spirit, the continual Source of immortality, of eternal Righteousness and of infinite Joy. ","joy, hope, peace, trust, love, awe, devotion","0.9699844121932983, 0.9584474563598633, 0.9426694512367249, 0.932407796382904, 0.8474063277244568, 0.7769866585731506, 0.7288405895233154"
0," What happened on the sacred battlefield of Kurukshetra, when my people gathered against the Pandavas?","surprise, devotion, anger, awe","0.8968204855918884, 0.7184511423110962, 0.6228129863739014, 0.6225368976593018"
1,"The Prince Duryodhana, when he saw the army of the Pandavas paraded, approached his preceptor Guru Drona and spoke as follows","devotion, surprise, compassion, detachment, trust, awe, disgust, anticipation","0.9374414086341858, 0.8748655319213867, 0.8525744080543518, 0.8109158873558044, 0.8082482218742371, 0.6945145726203918, 0.6661950945854187, 0.5784701108932495"
2," Revered Father! Behold this mighty host of the Pandavas, paraded by the son of King Drupada, your wise disciple. ","awe, devotion, surprise, hope, joy","0.9850379824638367, 0.9351068735122681, 0.6927912831306458, 0.6007660031318665, 0.5347340703010559"
3," In it are heroes and great bowmen; the equals in battle of Arjuna and Bheema, Yuyudhana, Virata and Drupada, great soldiers all; ",awe,0.834887803
4," Dhrishtaketu, Chekitan, the valiant King of Benares, Purujit, Kuntibhoja, Shaibya , a master over many; ","devotion, awe","0.9476557970046997, 0.9381881952285767"
5," Yudhamanyu, Uttamouja, Soubhadra and the sons of Droupadi, famous men. ","devotion, awe","0.7667626738548279, 0.535854697227478"
6," Further, take note of all those captains who have ranged themselves on our side, O best of Spiritual Guides! The leaders of my army. I will name them for you. ","devotion, trust, hope, awe, joy, compassion, love, peace","0.9611931443214417, 0.8881029486656189, 0.8856954574584961, 0.8724125623703003, 0.7065090537071228, 0.6172814965248108, 0.6076064109802246, 0.5977418422698975"
7," You come first; then Bheeshma, Karna, Kripa, great soldiers; Ashwaththama, Vikarna and the son of Somadhatta; ","anticipation, devotion, surprise, trust","0.8561429977416992, 0.812711775302887, 0.6916841864585876, 0.6415557861328125"
8," And many others, all ready to die for my sake; all armed, all skilled in war. ","devotion, awe, anticipation","0.9773350358009338, 0.8153407573699951, 0.6166608929634094"
9," Yet our army seems the weaker, though commanded by Bheeshma; their army seems the stronger, though commanded by Bheema. ","surprise, detachment, trust, sadness, disgust","0.8939070701599121, 0.6752893328666687, 0.6514752507209778, 0.5814096927642822, 0.5190649032592773"
10," Therefore in the rank and file, let stand firm in their posts, according to battalions; and all you generals about Bheeshma. ",devotion,0.858092129
11," Then to enliven his spirits, the brave Grandfather Bheeshma, eldest of the Kuru-clan, blew his conch, till it sounded like a lion's roar. ","devotion, hope, joy","0.8308926820755005, 0.6580169796943665, 0.5752350687980652"
12," And immediately all the conches and drums, the trumpets and horns, blared forth in tumultuous uproar. ",surprise,0.579662025
13," Then seated in their spacious war chariot, yoked with white horses, Lord Shri Krishna and Arjuna sounded their divine shells. ","devotion, awe, detachment","0.9131690263748169, 0.6957927942276001, 0.6452440619468689"
14," Lord Shri Krishna blew his Panchajanya and Arjuna his Devadatta, brave Bheema his renowned shell, Poundra. ","devotion, awe, hope, peace, compassion, detachment, surprise","0.9788211584091187, 0.8484156727790833, 0.7253225445747375, 0.6940913796424866, 0.6697520017623901, 0.5442104339599609, 0.5081421732902527"
15," The King Dharmaraja, the son of Kunti, blew the Anantavijaya, Nakalu and Sahadeo, the Sugosh and Manipushpaka, respectively. ","devotion, awe","0.8530817627906799, 0.5650880932807922"
16," And the Maharaja of Benares, the great archer, Shikhandi, the great soldier, Dhrishtayumna, Virata and Satyaki, the invincible, ","awe, devotion, hope","0.8946271538734436, 0.8652146458625793, 0.525563657283783"
17," And O King! Drupada, the sons of Droupadi and Soubhadra, the great soldier, blew their conches. ","devotion, awe, surprise, anger, joy, detachment","0.9360648393630981, 0.8221627473831177, 0.6088852882385254, 0.6051037907600403, 0.5497307181358337, 0.5141809582710266"
18," The tumult rent the hearts of the sons of Dhritarashtra, and violently shook heaven and earth with its echo. ","awe, surprise, anger, grief","0.8863224387168884, 0.8415499925613403, 0.7207549810409546, 0.5185394883155823"
19," Then beholding the sons of Dhritarashtra, drawn up on the battle- field, ready to fight, Arjuna, whose flag bore the Hanuman, ","awe, devotion, surprise, anticipation","0.9572298526763916, 0.8761407136917114, 0.7087693810462952, 0.6709005832672119"
20," Raising his bow, spoke this to the Lord Shri Krishna: O Infallible! Lord of the earth! Please draw up my chariot between the two armies, ","devotion, awe, trust, compassion, hope, anticipation","0.9888202548027039, 0.9136837124824524, 0.9086813926696777, 0.8045807480812073, 0.7185744643211365, 0.5681139230728149"
21," So that I may observe those who must fight on my side, those who must fight against me; ","anticipation, hope","0.7941684126853943, 0.6386575698852539"
22," And gaze over this array of soldiers, eager to please the sinful sons of Dhritarashtra","awe, anticipation, devotion","0.9002905488014221, 0.7797387838363647, 0.5890776515007019"
23,"Having listened to the request of Arjuna, Lord Shri Krishna drew up His bright chariot exactly in the midst between the two armies, ","devotion, trust, compassion, detachment, peace, hope, awe","0.9436933398246765, 0.8562946915626526, 0.8270227909088135, 0.7443811297416687, 0.6383399367332458, 0.6346487998962402, 0.5924165844917297"
24," Where Bheeshma and Drona had led all the rulers of the earth, and spoke thus: O Arjuna! Behold these members of the family of Kuru assembled. ","devotion, awe, surprise, compassion","0.8688157200813293, 0.8273565173149109, 0.6199711561203003, 0.5291299819946289"
25," There Arjuna noticed fathers, grandfathers, uncles, cousins, sons, grandsons, teachers, friends; ","devotion, compassion, surprise, hope, awe","0.7339783906936646, 0.7177502512931824, 0.5509448051452637, 0.5344402194023132, 0.525996744632721"
26," Fathers-in-law and benefactors, arrayed on both sides. Arjuna then gazed at all those kinsmen before him. ","devotion, trust, awe, love, compassion, hope, surprise","0.8685196042060852, 0.8587625622749329, 0.8421510457992554, 0.7647386193275452, 0.7109389305114746, 0.590498685836792, 0.5750049948692322"
27," And his heart melted with pity and sadly he spoke: O my Lord! When I see all these, my own people, thirsting for battle, ","sadness, grief, compassion, fear, devotion","0.9781239032745361, 0.951899528503418, 0.8732861280441284, 0.7293336987495422, 0.7087029218673706"
28," My limbs fail me and my throat is parched, my body trembles and my hair stands on end. ","fear, surprise, disgust, sadness, grief","0.852149486541748, 0.7825575470924377, 0.7326287627220154, 0.6701505184173584, 0.5886794924736023"
29," The bow Gandeeva slips from my hand, and my skin burns. I cannot keep quiet, for my mind is in tumult. ","surprise, anger, grief, fear","0.914385974407196, 0.6952078938484192, 0.6470330357551575, 0.6264460682868958"
30, The omens are adverse; what good can come from the slaughter of my people on this battlefield? ,"sadness, disgust","0.7696986794471741, 0.6510623097419739"
31," Ah my Lord! I crave not for victory, nor for the kingdom, nor for any pleasure. What were a kingdom or happiness or life to me, ","detachment, devotion, sadness, surprise, awe, fear, peace, grief, disgust, trust, compassion, anger","0.9935949444770813, 0.9191486835479736, 0.9021544456481934, 0.8866572380065918, 0.8645443916320801, 0.814525842666626, 0.8102858662605286, 0.7987913489341736, 0.7890377640724182, 0.7166541814804077, 0.6826372742652893, 0.637806236743927"
32, When those for whose sake I desire these things stand here about to sacrifice their property and their lives: ,"devotion, awe, surprise, sadness, trust","0.9410572648048401, 0.6808183193206787, 0.631838858127594, 0.5216140747070312, 0.517326295375824"
33," Teachers, fathers and grandfathers, sons and grandsons, uncles, father-in-law, brothers-inlaw and other relatives. ","devotion, grief, compassion, love","0.6860581040382385, 0.681313693523407, 0.5799155235290527, 0.5057985782623291"
34," I would not kill them, even for three worlds; why then for this poor earth? It matters not if I myself am killed. ","detachment, devotion, compassion, sadness, love, trust, disgust","0.9509280920028687, 0.8904681205749512, 0.7925356030464172, 0.6670768857002258, 0.5892841219902039, 0.54998779296875, 0.5299458503723145"
35, My Lord! What happiness can come from the death of these sons of Dhritarashtra? We shall sin if we kill these desperate men. ,"surprise, fear, anger, grief, detachment, sadness","0.7302163243293762, 0.7105997204780579, 0.6426844000816345, 0.6281801462173462, 0.6129683256149292, 0.5970841646194458"
36," We are worthy of a nobler feat than to slaughter our relatives , the sons of Dhritarashtra; for, my Lord, how can we be happy of we kill our kinsmen? ","hope, devotion, awe, compassion, peace, trust, anger, detachment, surprise","0.9261068105697632, 0.87270188331604, 0.8489547371864319, 0.7423349022865295, 0.7270894050598145, 0.6897141337394714, 0.6504899859428406, 0.6122117638587952, 0.5920876264572144"
37," Although these men, blinded by greed, see no guilt in destroying their kin, or fighting against their friends ",Neutral,
38," Should not we, whose eyes are open, who consider it to be wrong to annihilate our house, turn away from so great a crime? ","hope, detachment, disgust","0.8539515137672424, 0.8265698552131653, 0.5575089454650879"
39," The destruction of our kindred means the destruction of the traditions of our ancient lineage, and when these are lost, irreligion will overrun our homes. ",Neutral,
40," When irreligion spreads, the women of the house begin to stray; when they lose their purity, adulteration of the stock follows. ",Neutral,
41," Promiscuity ruins both the family and those who defile it; while the souls of our ancestors droop, through lack of the funeral cakes and ablutions. ","sadness, disgust","0.5812386870384216, 0.5512262582778931"
42," By the destruction of our lineage and the pollution of blood, ancient class traditions and family purity alike perish. ","sadness, grief","0.6502867341041565, 0.5175063610076904"
43," The wise say, my Lord, that they are forever lost, whose ancient traditions are lost. ","sadness, detachment","0.799163281917572, 0.5567403435707092"
44," Alas, it is strange that we should be willing to kill our own countrymen and commit a great sin, in order to enjoy the pleasures of a kingdom. ","surprise, sadness, disgust","0.9799846410751343, 0.8989997506141663, 0.592608630657196"
45," If, on the contrary, the sons of Dhritarashtra, with weapons in their hand, should slay me, unarmed and unresisting, surely that would be better for my welfare! ","detachment, surprise, hope, compassion, devotion","0.8809366226196289, 0.6676517724990845, 0.5748348832130432, 0.570134699344635, 0.525018572807312"
46,"Having spoken thus, in the midst of the armies, Arjuna sank on the seat of the chariot, casting away his bow and arrow; heartbroken with grief.","grief, sadness, detachment","0.9921836853027344, 0.9895992279052734, 0.771877646446228"
0," My Lord! Who is God and what is Nature; what is Matter and what is the Self; what is that they call Wisdom, and what is it that is worth knowing? I wish to have this explained. ","awe, surprise, devotion","0.8311462998390198, 0.5766032934188843, 0.5030655264854431"
1," The body of man is the playground of the Self; and That which knows the activities of Matter, sages call the Self. ",awe,0.537571549
2, I am the Omniscient self that abides in the playground of Matter; knowledge of Matter and of the all-knowing Self is wisdom. ,Neutral,
3," What is called Matter, of what it is composed, where it came, and why it changes, what the Self is, and what Its power ,this I will now briefly set forth. ",Neutral,
4," Seers have sung of It in various ways, in many hymns and sacred Vedic songs, weighty in thought and convincing in argument. ","devotion, hope","0.9046189188957214, 0.6058412194252014"
5," The five great fundamentals (earth, fire, air, water and ether), personality, intellect, the mysterious life force, the ten organs of perception and action, the mind and the five domains of sensation; ",awe,0.622121334
6," Desire, aversion, pleasure, pain, sympathy, vitality and the persistent clinging to life, these are in brief the constituents of changing Matter. ",Neutral,
7," Humility, sincerity, harmlessness, forgiveness, rectitude, service of the Master, purity, steadfastness, self-control; ","peace, devotion, detachment, hope, awe","0.9833715558052063, 0.865393340587616, 0.5871476531028748, 0.5773670077323914, 0.5206489562988281"
8," Renunciation of the delights of sense, absence of pride, right understanding of the painful problem of birth and death, of age and sickness; ","detachment, disgust, sadness, grief","0.9819931387901306, 0.8365050554275513, 0.7634285092353821, 0.6228766441345215"
9," Indifference, non-attachment to sex, progeny or home, equanimity in good fortune and in bad; ","peace, detachment","0.9898577928543091, 0.9898377656936646"
10," Unswerving devotion to Me, by concentration on Me and Me alone, a love for solitude, indifference to social life; ","devotion, detachment, love, peace, awe, trust","0.996428370475769, 0.9864581823348999, 0.941874623298645, 0.934903621673584, 0.6952593922615051, 0.6144531965255737"
11," Constant yearning for the knowledge of Self, and pondering over the lessons of the great Truth â this is Wisdom, all else ignorance. ","devotion, anticipation","0.7263872623443604, 0.5064946413040161"
12," I will speak to you now of that great Truth which man ought to know, since by its means he will win immortal bliss â that which is without beginning, the Eternal Spirit which dwells in Me, neither with form, nor yet without it. ","peace, joy, trust, hope, devotion, anticipation, detachment, awe","0.9455212950706482, 0.6690080761909485, 0.6376171708106995, 0.6363192200660706, 0.6025993227958679, 0.5746351480484009, 0.5529199242591858, 0.5298517942428589"
13," Everywhere are Its hands and Its feet; everywhere It has eyes that see, heads that think and mouths that speak; everywhere It listens; It dwells in all the worlds; It envelops them all. ","trust, awe, compassion, devotion, peace, hope","0.8133298754692078, 0.7816925644874573, 0.7477889060974121, 0.7091078162193298, 0.5689197182655334, 0.549801766872406"
14," Beyond the senses, It yet shines through every sense perception. Bound to nothing, It yet sustains everything. Unaffected by the Qualities, It still enjoys them all. ","awe, joy, peace, devotion, hope, trust, detachment, surprise","0.8637234568595886, 0.7728250622749329, 0.7585586309432983, 0.7344587445259094, 0.6601318120956421, 0.6065142750740051, 0.5940069556236267, 0.5342962741851807"
15," It is within all beings, yet outside; motionless yet moving; too subtle to be perceived; far away yet always near. ",detachment,0.696459234
16," In all beings undivided, yet living in division, It is the upholder of all, Creator and Destroyer alike; ","detachment, awe, devotion, hope, trust","0.8576590418815613, 0.6936243772506714, 0.6431059837341309, 0.5300654768943787, 0.5228344202041626"
17," It is the Light of lights, beyond the reach of darkness; the Wisdom, the only thing that is worth knowing or that wisdom can teach; the Presence in the hearts of all. ","hope, peace, devotion","0.9834495782852173, 0.5610747337341309, 0.5259585380554199"
18," Thus I have told you in brief what Matter is, and the Self worth realising and what is Wisdom. He who is devoted to Me knows; and assuredly he will enter into Me. ","devotion, hope","0.982136070728302, 0.514378547668457"
19, Know you further that Nature and God have no beginning; and that differences of character and quality have their origin in Nature only. ,"devotion, trust, awe, hope","0.7596558928489685, 0.7558591365814209, 0.7372267842292786, 0.6221669316291809"
20, Nature is the Law which generates cause and effect; God is the source of the enjoyment of all pleasure and pain. ,joy,0.68870461
21, God dwelling in the heart of Nature experiences the Qualities which nature brings forth; and His affinity towards the Qualities is the reason for His living in a good or evil body. ,"devotion, trust, compassion","0.6572163105010986, 0.590499758720398, 0.5518072247505188"
22," Thus in the body of man dwells the Supreme God; He who sees and permits, upholds and enjoys, the Highest God and the Highest Self. ","awe, hope, devotion","0.7403675317764282, 0.6420530676841736, 0.5750642418861389"
23," He who understands God and Nature along with her qualities, whatever be his condition in life, he comes not again to earth. ","hope, detachment, devotion, trust, awe, peace","0.7900540232658386, 0.7484921216964722, 0.7286110520362854, 0.6735882759094238, 0.6366138458251953, 0.5096440315246582"
24," Some realise the Supreme by meditating, by its aid, on the Self within, others by pure reason, others by right action. ",Neutral,
25," Others again, having no direct knowledge but only hearing from others, nevertheless worship, and they, too, if true to the teachings, cross the sea of death. ","devotion, hope, trust","0.9441059231758118, 0.9107368588447571, 0.6508345603942871"
26," Wherever life is seen in things movable or immovable, it is the joint product of Matter and Spirit. ",Neutral,
27," He who can see the Supreme Lord in all beings, the Imperishable amidst the perishable, he it is who really sees. ","awe, devotion, trust","0.77388995885849, 0.7422648668289185, 0.6179250478744507"
28," Beholding the Lord in all things equally, his actions do not mar his spiritual life but lead him to the height of Bliss. ","peace, devotion, trust, hope, awe, joy, love, compassion","0.9925822615623474, 0.9758763313293457, 0.9722515940666199, 0.9577428698539734, 0.9152688980102539, 0.9119924902915955, 0.6872454881668091, 0.6671027541160583"
29," He who understands that it is only the Law of Nature that brings action to fruition, and that the Self never acts, alone knows the Truth. ",detachment,0.784060299
30," He who sees the diverse forms of life all rooted in One, and growing forth from Him, he shall indeed find the Absolute. ","hope, trust, awe, anticipation, devotion","0.9697595834732056, 0.7766844630241394, 0.73018479347229, 0.7277904748916626, 0.7031022310256958"
31," The Supreme Spirit, O Prince, is without beginning, without Qualities and Imperishable, and though it be within the body, yet It does not act, nor is It affected by action. ","detachment, peace, awe, devotion","0.9636880159378052, 0.7756586074829102, 0.6435741186141968, 0.5135568380355835"
32," As space, though present everywhere, remains by reason of its subtlety unaffected, so the Self, though present in all forms, retains its purity unalloyed. ","peace, detachment, devotion","0.8842996954917908, 0.6390588283538818, 0.6125450134277344"
33," As the one Sun illuminates the whole earth, so the Lord illumines the whole universe. ","hope, awe, devotion","0.9004448056221008, 0.8660352826118469, 0.6853289604187012"
34," Those who with the eyes of wisdom thus see the difference between Matter and Spirit, and know how to liberate Life from the Law of Nature, they attain the Supreme.",hope,0.628278732
0," Now, O Prince! Listen to My supreme advice, which I give you for the sake of your welfare, for you are My beloved. ","love, compassion, devotion, trust, hope, peace, awe","0.9827048182487488, 0.9188344478607178, 0.9060441255569458, 0.8864627480506897, 0.876164972782135, 0.7632766366004944, 0.5244005918502808"
1," Neither the professors of divinity nor the great ascetics know My origin, for I am the source of them all. ","surprise, trust, devotion, awe","0.9324026107788086, 0.7908507585525513, 0.7541831135749817, 0.549264132976532"
2," He who knows Me as the unborn, without beginning, the Lord of the universe, he, stripped of his delusion, becomes free from all conceivable sin. ","peace, hope, trust, devotion, detachment, awe, compassion","0.9174103140830994, 0.9066416025161743, 0.9043552279472351, 0.7959762215614319, 0.7003892660140991, 0.5916973948478699, 0.5231969952583313"
3," Intelligence, wisdom, non-illusion, forgiveness, truth, self-control, calmness, pleasure, pain, birth, death, fear and fearlessness; ","fear, peace","0.934481143951416, 0.7540276050567627"
4," Harmlessness, equanimity, contentment, austerity, beneficence, fame and failure, all these, the characteristics of beings, spring from Me only. ","peace, detachment","0.9872180223464966, 0.9122856855392456"
5," The seven Great Seers, the Progenitors of mankind, the Ancient Four, and the Lawgivers were born of My Will and come forth direct from Me. The race of mankind has sprung from them. ","devotion, trust, awe, hope","0.7450371384620667, 0.7227444648742676, 0.6859970688819885, 0.5612995624542236"
6," He who rightly understands My manifested glory and My Creative Power, beyond doubt attains perfect peace. ","peace, hope, trust, devotion, awe","0.9949780106544495, 0.9617199301719666, 0.9524355530738831, 0.7876966595649719, 0.625142514705658"
7, I am the source of all; from Me everything flows. Therefore the wise worship Me with unchanging devotion. ,"devotion, trust, love, awe, peace, hope","0.9938378930091858, 0.964593231678009, 0.9411725401878357, 0.7991119027137756, 0.7647842764854431, 0.6856246590614319"
8," With minds concentrated on Me, with lives absorbed in Me, and enlightening each other, they ever feel content and happy. ","peace, devotion, joy, trust, love, hope","0.9718924760818481, 0.9664762616157532, 0.9286388158798218, 0.8021500110626221, 0.6643884181976318, 0.6351524591445923"
9," To those who are always devout and who worship Me with love, I give the power of discrimination, which leads them to Me. ","devotion, hope","0.9624516367912292, 0.8270753622055054"
10," By My grace, I live in their hearts; and I dispel the darkness of ignorance by the shining light of wisdom. ","hope, peace, trust, compassion, love, awe, devotion","0.9845043420791626, 0.8613592982292175, 0.8368514776229858, 0.7581954598426819, 0.6906187534332275, 0.6080095767974854, 0.5123983025550842"
11,"You are the Supreme Spirit, the Eternal Home, the Holiest of the Holy, the Eternal Divine Self, the Primal God, the Unborn and the Omnipresent. ","devotion, awe, trust","0.8094131946563721, 0.6848816275596619, 0.590318500995636"
12," So have said the seers and the divine sage Narada; as well as Asita, Devala and Vyasa; and You Yourself also say it. ",devotion,0.762489974
13," I believe in what You have said, my Lord! For neither the godly not the godless comprehend Your manifestation. ","trust, devotion, hope, surprise, awe, peace","0.9878200888633728, 0.9712501764297485, 0.9359810948371887, 0.6807906031608582, 0.6432211399078369, 0.5792644619941711"
14," You alone know Yourself, by the power of Your Self; You the Supreme Spirit, the Source and Master of all being, the Lord of Lords, the Ruler of the Universe. ","trust, awe, devotion, detachment","0.8615110516548157, 0.7630447149276733, 0.67664635181427, 0.6087429523468018"
15," Please tell me all about Your glorious manifestations, by means of which You pervade the world. ","anticipation, trust, awe, devotion","0.9022059440612793, 0.656910240650177, 0.6184577345848083, 0.5543937683105469"
16," O Master! How shall I, by constant meditation, know You? My Lord! What are Your various manifestations through which I am to mediate on You? ","devotion, awe","0.8651226758956909, 0.5698886513710022"
17," Tell me again, I pray, about the fullness of Your power and Your glory; for I feel that I am never satisfied when I listen to Your immortal words. ","devotion, awe, anticipation, trust","0.8672615885734558, 0.7966665029525757, 0.7872990965843201, 0.5170609354972839"
18," So be it, My beloved friend! I will unfold to you some of the chief aspects of My glory. Of its full extent there is no end. ",Neutral,
19," O Arjuna! I am the Self, seated in the hearts of all beings; I am the beginning and the life, and I am the end of them all. ","awe, devotion","0.8913293480873108, 0.8192558288574219"
20," Of all the creative Powers I am the Creator, of luminaries the Sun; the Whirlwind among the winds, and the Moon among planets. ",awe,0.633404493
21," Of the Vedas I am the Hymns, I am the Electric Force in the Powers of Nature; of the senses I am the Mind; and I am the Intelligence in all that lives. ",devotion,0.68437469
22," Among Forces of Vitality I am the life, I am Mammon to the heathen and the godless; I am the Energy in fire, earth, wind, sky, heaven, sun, moon and planets; and among mountains I am the Mount Meru. ",,
23," Among the priests, know, O Arjuna, that I am the Apostle Brihaspati; of generals I am Skanda, the Commander-in-Chief, and of waters I am the Ocean. ","devotion, awe","0.95777827501297, 0.6123983860015869"
24," Of the great seers I am Bhrigu, of words I am Om, of offerings I am the silent prayer, among things immovable I am the Himalayas. ","devotion, awe","0.9877657890319824, 0.6012147068977356"
25," Of trees I am the sacred Fig-tree, of the Divine Seers Narada, of the heavenly singers I am Chitraratha, their Leader, and of sages I am Kapila. ","devotion, awe","0.9623250365257263, 0.5851452350616455"
26," Know that among horses I am Pegasus, the heaven-born; among the lordly elephants I am the White one, and I am the Ruler among men. ","awe, devotion, hope","0.9505237340927124, 0.9188671112060547, 0.5551686882972717"
27," I am the Thunderbolt among weapons; of cows I am the Cow of Plenty, I am Passion in those who procreate, and I am the Cobra among serpents. ","devotion, awe","0.7609525918960571, 0.535764217376709"
28," I am the King-python among snakes, I am the Aqueous Principle among those that live in water, I am the Father of fathers, and among rulers I am Death. ",Neutral,
29, And I am the devotee Prahlad among the heathen; of Time I am the Eternal Present; I am the Lion among beasts and the Eagle among birds. ,"devotion, awe","0.9977005124092102, 0.6677476167678833"
30," I am the Wind among purifiers, the King Rama among warriors; I am the Crocodile among the fishes, and I am the Ganges among rivers. ","devotion, awe","0.9525160193443298, 0.8284778594970703"
31," I am the Beginning, the Middle and the End in creation; among sciences, I am the science of Spirituality; I am the Discussion among disputants. ",Neutral,
32, Of letters I am A; I am the copulative in compound words; I am Time inexhaustible; and I am the all-pervading Preserver. ,"devotion, trust, anticipation","0.8603394031524658, 0.5488218665122986, 0.5394913554191589"
33," I am all-devouring Death; I am the Origin of all that shall happen; I am Fame, Fortune, Speech, Memory, Intellect, Constancy and Forgiveness. ","awe, devotion","0.5728090405464172, 0.5677292943000793"
34," Of hymns I am Brihatsama, of metres I am Garatri, among the months I am Margasheersha (December), and I am the Spring among seasons. ",devotion,0.929960787
35, I am the Gambling of the cheat and the Splendour of the splendid; I am Victory; I am Effort; and I am the Purity of the pure. ,"awe, joy","0.7390072345733643, 0.734207272529602"
36," I am Shri Krishna among the Vishnu-clan and Arjuna among the Pandavas; of the saints I am Vyasa, and I am Shukracharya among the sages. ",devotion,0.979748905
37," I am the Sceptre of rulers, the Strategy of the conquerors, the Silence of mystery, the Wisdom of the wise. ","detachment, surprise","0.7060953378677368, 0.6605429649353027"
38," I am the Seed of all being, O Arjuna! No creature moving or unmoving can live without Me. ","devotion, awe, trust, hope","0.9675714373588562, 0.8057034015655518, 0.6864485740661621, 0.577474057674408"
39, O Arjuna! The aspects of My divine life are endless. I have mentioned but a few by way of illustration. ,Neutral,
40," Whatever is glorious, excellent, beautiful and mighty, be assured that it comes from a fragment of My splendour. ","trust, awe","0.901624321937561, 0.5795205235481262"
41, But what is the use of all these details to you? O Arjuna! I sustain this universe with only small part of Myself.â ,Neutral,
0,O mighty One! I desire to know how relinquishment is distinguished from renunciation. ,awe,0.709554851
1,The sages say that renunciation means forgoing an action which springs from desire; and relinquishing means the surrender of its fruit. ,detachment,0.825961113
2," Some philosophers say that all action is evil and should be abandoned. Others that acts of sacrifice, benevolence and austerity should not be given up. ","devotion, compassion, detachment","0.6189521551132202, 0.5760360360145569, 0.5281050205230713"
3," O best of Indians! Listen to my judgment as regards this problem. It has a threefold aspect. Acts of sacrifice, benevolence and austerity should not be given up but should be performed, for they purify the aspiring soul. ",,
4, But they should be done with detachment and without thought of recompense. This is my final judgment. ,"detachment, peace","0.9854300022125244, 0.6068816781044006"
5," It is not right to give up actions which are obligatory; and if they are misunderstood, it is the result of sheer ignorance. ",Neutral,
6," To avoid an action through fear of physical suffering, because it is likely to be painful, is to act from passion, and the benefit of renunciation will not follow. ","fear, love","0.9412532448768616, 0.5689314007759094"
7," He who performs an obligatory action, because he believes it to be a duty which ought to be done, without any personal desire to do the act or to receive any return such renunciation is Pure. ","detachment, peace, devotion","0.9731718897819519, 0.9496610164642334, 0.8229559659957886"
8," The wise man who has attained purity, whose doubts are solved, who is filled with the spirit of self-abnegation, does not shrink from action because it brings pain, nor does he desire it because it brings pleasure. ","peace, devotion","0.7252745628356934, 0.5572687387466431"
9," But since those still in the body cannot entirely avoid action, in their case abandonment of the fruit of action is considered as complete renunciation. ",detachment,0.76196593
10," For those who cannot renounce all desire, the fruit of action hereafter is threefold  good, evil, and partly good and partly evil. But for him who has renounced, there is none. ",Neutral,
11," I will tell you now, O Mighty Man, the five causes which, according to the final decision of philosophy, must concur before an action can be accomplished. ",Neutral,
12," They are a body, a personality, physical organs, their manifold activity and destiny. ",Neutral,
13," Whatever action a man performs, whether by muscular effort or by speech or by thought, and whether it be right or wrong, these five are the essential causes. ",Neutral,
14," But the fool who supposes, because of his immature judgment, that it is his own Self alone that acts, he perverts the truth and does not see rightly. ","trust, detachment","0.6624159216880798, 0.5628880262374878"
15," He who has no pride, and whose intellect is unalloyed by attachment, even though he kill these people, yet he does not kill them, and his act does not bind him. ","devotion, detachment, hope, trust, peace, awe","0.921992838382721, 0.9215813279151917, 0.6005478501319885, 0.587238609790802, 0.5545043349266052, 0.5500162243843079"
16," Knowledge, the knower and the object of knowledge, these are the three incentives to action; and the act, the actor and the instrument are the threefold constituents. ",Neutral,
17," The knowledge, the act and the doer differ according to the Qualities. Listen to this too: ",Neutral,
18," That knowledge which sees the One Indestructible in all beings, the One Indivisible in all separate lives, may be truly called Pure Knowledge. ",Neutral,
19, The knowledge which thinks of the manifold existence in all beings as separate â that comes from Passion. ,love,0.872625887
20," But that which clings blindly to one idea as if it were all, without logic, truth or insight, that has its origin in Darkness. ",devotion,0.847038329
21," An obligatory action done by one who is disinterested, who neither likes nor dislikes it, and gives no thought to the consequences that follow, such an action is Pure. ","detachment, peace","0.985958456993103, 0.8096203207969666"
22," But even though an action involve the most strenuous endeavour, yet if the doer is seeking to gratify his desires, and is filled with personal vanity, it may be assumed to originate in Passion. ",Neutral,
23," An action undertaken through delusion, and with no regard to the spiritual issues involved, or the real capacity of the doer, or to the injury which may follow, such an act may be assumed to be the product of Ignorance. ",,
24," But when a man has no sentiment and no personal vanity, when he possesses courage and confidence, cares not whether he succeeds or fails, then his action arises from Purity. ","detachment, peace","0.9699805378913879, 0.8962303400039673"
25," In him who is impulsive, greedy, looking for reward, violent, impure, torn between joy and sorrow,it may be assumed that in him Passion is predominant. ",Neutral,
26," While he whose purpose is infirm, who is low-minded, stubborn, dishonest, malicious, indolent, despondent, procrastinating â he may be assumed to be in Darkness. ",detachment,0.608072162
27," Reason and conviction are threefold, according to the Quality which is dominant. I will explain them fully and severally, O Arjuna! ",Neutral,
28," That intellect which understands the creation and dissolution of life, what actions should be done and what not, which discriminates between fear and fearlessness, bondage and deliverance, that is Pure. ",peace,0.934793949
29," The intellect which does not understand what is right and what is wrong, and what should be done and what not, is under the sway of Passion. ",love,0.885462463
30," And that which, shrouded in Ignorance, thinks wrong right, and sees everything perversely, O Arjuna, that intellect is ruled by Darkness. ",Neutral,
31," The conviction and steady concentration by which the mind, the vitality and the senses are controlled O Arjuna! They are the product of Purity. ",peace,0.81122148
